registration_number,n_cycles,n_unique_soh,rul_reliability,first_date,last_date,current_soh,soh_slope_%per_day,soh_r2,rul_days,rul_lo_days,rul_hi_days,eol_threshold,efc_total,avg_efc_per_day,soh_per_efc_slope,rul_efc,rul_days_efc,rul_efc_ci_lo,rul_efc_ci_hi,dual_soh0,dual_alpha,dual_beta,dual_rul_days,dual_rul_efc_days,dual_rul_cal_days,dual_dominant_path,bayes_soh_pred,bayes_soh_std,bayes_rul_days,epk_slope_per_day,epk_r2,heat_slope_per_day,heat_r2,spread_slope_per_day,spread_r2,vsag_slope_per_day,vsag_r2,total_n_vsag,ir_slope_per_day,ir_r2,total_high_ir,cycle_soh_current,cycle_soh_slope_per_day,cycle_soh_r2,soh_slope_norm,ekf_soh_norm,soh_health_norm,energy_slope_norm,heat_slope_norm,spread_slope_norm,vsag_slope_norm,ir_slope_norm,cycle_soh_slope_norm,composite_degradation_score,pct_rapid_heating,pct_high_energy_per_km,pct_slow_charging,pct_fast_charging,n_if_anomalies,n_cusum_soh,n_cusum_epk,n_cusum_heat,n_cusum_spread,n_cusum_cycle_soh,n_combined_anom,if_score_mean,neural_rec_err_mean,neural_rec_err_p95,n_neural_anomalies,neural_anomaly_pct
MH18BZ3112,474,95,reliable,2026-01-24,2026-03-10,97.71,-0.01673,0.622,1058.0,905.0,1247.0,80.0,123.09,2.7158,-0.006065,2920.0,1075.0,2447.0,3575.0,99.74,-289.69847,2276.14885,71.0,,71.0,calendar,97.866,0.138,,0.0027,0.003,0.01688,0.008,-1.1e-05,0.004,0.00169,0.005,37,0.01259,0.001,3399,99.958,0.06062,0.35,0.125872998818094,0.2368200836820098,0.2368200836820098,0.23788119160937773,0.7275274629900562,0.171875,0.3648228713486638,0.881702500059131,0.2635700167249505,0.4024,0.139,0.295,0.167,0.193,4,19,3,2,2,12,45,-0.0692,0.1996,0.4387,19,51.39
MH18BZ3369,47,11,low_r2,2026-01-24,2026-03-02,97.41,-0.03085,0.04,564.0,14.0,3168.0,80.0,13.24,0.4549,-0.220125,79.0,174.0,45.0,147.0,100.606,-3472.13414,249957.93714,1.0,,1.0,calendar,97.419,1.369,,0.03748,0.206,-0.04574,0.01,-5e-06,0.001,-0.01336,0.029,16,-0.145,0.015,321,100.0,0.0,,0.2017298807349307,0.31938633193863264,0.31938633193863264,0.5444209413008989,0.572246881741761,0.21875,0.17775015537600997,0.6953333806381418,0.3147753957393611,0.4001,0.2,0.32,0.364,0.273,9,0,0,0,0,1,10,-0.0297,0.189,0.4136,2,49.8562
MH18BZ3368,499,114,reliable,2026-01-22,2026-03-10,97.88,-0.01972,0.625,907.0,803.0,1063.0,80.0,134.42,2.8476,-0.006949,2573.0,904.0,2276.0,3040.0,99.917,237.6505,-1873.57062,89.0,89.0,,cycle,98.048,0.142,,-0.00014,0.0,0.00427,0.001,7e-06,0.002,0.00328,0.016,48,-0.03082,0.003,4347,100.0,-0.00142,0.0,0.1419361770710219,0.18828451882845143,0.18828451882845143,0.21285034373347433,0.6962580901133235,0.3125,0.38458669981354887,0.8303649565978382,0.3159748618924535,0.3995,0.108,0.217,0.333,0.093,16,12,3,4,0,11,49,-0.0589,0.1803,0.3864,25,50.8832
MH18BZ3370,454,103,reliable,2026-01-22,2026-03-10,97.34,-0.04899,0.673,354.0,314.0,396.0,80.0,112.32,2.3732,-0.02073,837.0,353.0,749.0,961.0,95.661,-1536.98357,11786.88579,13.0,,13.0,calendar,97.529,0.182,,-0.00319,0.005,0.00762,0.002,-3e-06,0.0,0.00421,0.014,88,-0.01707,0.001,3719,98.728,0.37265,0.101,0.29918341033630613,0.3386331938633196,0.3386331938633196,0.18596862330336683,0.7045651796563096,0.234375,0.39614667495338723,0.8466259845313275,0.0,0.3985,0.16,0.275,0.302,0.123,24,0,3,1,1,8,38,-0.0568,0.1955,0.4207,25,50.7299
MH18BZ3380,488,100,reliable,2026-01-24,2026-03-10,97.88,-0.03177,0.846,563.0,514.0,627.0,80.0,108.56,2.3867,-0.013481,1326.0,556.0,1208.0,1483.0,100.026,-741.23643,5038.62485,32.0,,32.0,calendar,97.917,0.074,,-0.00289,0.004,0.01165,0.003,9e-06,0.004,-0.00019,0.0,39,-0.01012,0.0,3816,100.0,-0.01633,0.007,0.20667239712044705,0.18800557880055613,0.18800557880055613,0.18861272695222983,0.7145584843901107,0.328125,0.34145431945307647,0.8548451950140731,0.32856925649992386,0.3985,0.13,0.273,0.283,0.104,5,0,3,3,0,9,24,-0.0708,0.2006,0.445,24,50.1765
MH18BZ2961,436,115,reliable,2026-01-22,2026-03-10,97.55,-0.02008,0.624,874.0,760.0,1031.0,80.0,118.65,2.518,-0.007874,2229.0,885.0,1965.0,2654.0,99.973,-454.80864,3944.38608,41.0,,41.0,calendar,97.707,0.135,,-0.00022,0.0,0.00744,0.002,5e-06,0.001,-0.00156,0.005,34,-0.08191,0.021,3376,100.0,0.06367,0.076,0.143870205221876,0.28061366806136734,0.28061366806136734,0.21214524942711085,0.704118828576388,0.29687499999999994,0.324425108763207,0.769944889898058,0.26099369857922383,0.3981,0.128,0.256,0.222,0.622,7,1,2,0,0,5,17,-0.0644,0.179,0.3782,25,51.4902
MH18BZ2873,333,81,reliable,2026-01-24,2026-02-26,97.55,-0.03449,0.874,509.0,459.0,565.0,80.0,90.12,2.6856,-0.012575,1395.0,520.0,1264.0,1563.0,100.534,-1551.82529,14060.26736,11.0,,11.0,calendar,97.603,0.118,1749.0,0.00379,0.003,0.0103,0.002,-2.4e-05,0.007,0.0018,0.004,18,-0.0924,0.011,2735,100.0,-0.1053,0.053,0.22128505426023426,0.28117154811715406,0.28117154811715406,0.2474881015335801,0.7112108512906984,0.0703125,0.36619018023617156,0.7575392038600722,0.4037217238524825,0.3974,0.135,0.152,0.146,0.371,7,10,3,0,0,9,37,-0.0637,0.1824,0.3877,19,51.0601
MH18BZ3109,461,110,reliable,2026-01-25,2026-03-10,97.69,-0.01702,0.68,1039.0,895.0,1280.0,80.0,121.09,2.739,-0.006027,2935.0,1071.0,2527.0,3518.0,99.764,-154.60599,1076.96121,151.0,,151.0,calendar,97.847,0.136,,-0.00704,0.022,-0.01239,0.005,4e-06,0.0,0.0001,0.0,10,0.00223,0.0,3685,100.0,0.02131,0.08,0.12743096593961545,0.24184100418410204,0.24184100418410204,0.1520359598096245,0.6549458179383538,0.2890625,0.34505904288377875,0.86945055464888,0.2967749564982345,0.3959,0.144,0.222,0.06,0.397,8,20,3,3,1,6,45,-0.0659,0.2067,0.46,22,48.9873
MH18BZ3347,272,61,low_r2,2026-01-24,2026-02-25,97.62,-0.02215,0.224,796.0,534.0,1826.0,80.0,77.88,2.4373,-0.009103,1935.0,794.0,1283.0,4750.0,97.724,-6459.15263,44223.5364,4.0,,4.0,calendar,97.858,0.308,,0.00114,0.0,0.01164,0.002,-6e-06,0.0,0.00019,0.0,60,-0.00881,0.0,2020,100.0,0.14719,0.331,0.15499086708928766,0.2616457461645757,0.2616457461645757,0.22413185263528995,0.7145336871078929,0.21093749999999997,0.34617775015537605,0.8563944274935547,0.19044481611001307,0.3958,0.175,0.327,0.183,0.113,44,0,2,1,0,7,53,-0.0256,0.5343,1.0089,17,48.4447
MH18BZ3390,451,106,reliable,2026-01-22,2026-03-10,97.66,-0.02341,0.539,754.0,644.0,890.0,80.0,150.1,3.2063,-0.007346,2403.0,750.0,2113.0,2790.0,100.182,-74.27373,1429.31749,113.0,,113.0,calendar,97.773,0.142,,0.00089,0.0,0.00937,0.003,-1e-06,0.0,-0.00073,0.001,32,-0.04559,0.006,3209,99.483,0.08138,0.062,0.16175996561727735,0.2513249651324959,0.2513249651324959,0.22192843292790407,0.7089047040444366,0.25,0.33474207582349286,0.812897656046737,0.2460341594445289,0.3939,0.121,0.333,0.354,0.042,16,0,3,1,1,6,29,-0.0586,0.1981,0.4456,25,49.8583
MH18BZ3381,362,66,reliable,2026-01-25,2026-02-26,97.68,-0.03905,0.636,453.0,387.0,547.0,80.0,87.92,2.7357,-0.014553,1215.0,444.0,1053.0,1450.0,101.067,2229.96253,-16745.63253,10.0,10.0,,cycle,97.884,0.177,,0.00674,0.007,0.03533,0.014,-2e-05,0.005,0.00143,0.001,75,-0.09222,0.015,2733,100.0,-0.01042,0.001,0.24578274417105417,0.2440725244072529,0.2440725244072529,0.27348845408073325,0.7732784486820244,0.10156249999999999,0.36159105034182726,0.7577520754984743,0.32357711215853224,0.3931,0.153,0.285,0.303,0.067,14,0,4,3,0,7,27,-0.0631,0.2248,0.453,15,50.3221
MH18BZ3376,506,95,reliable,2026-01-22,2026-03-10,98.0,-0.03334,0.969,540.0,519.0,561.0,80.0,108.98,2.3215,-0.01475,1220.0,526.0,1168.0,1268.0,99.896,-206.88171,1289.37538,126.0,,126.0,calendar,98.044,0.079,1080.0,0.00514,0.014,0.03344,0.04,2e-06,0.0,0.00292,0.013,50,-0.08907,0.011,5797,100.0,-0.0334,0.062,0.21510690877833905,0.1556485355648518,0.1556485355648518,0.25938656795346376,0.7685917623428471,0.2734375,0.38011187072715974,0.7614773291705101,0.34298819117125334,0.3928,0.112,0.226,0.219,0.094,47,0,1,3,0,10,76,-0.0521,0.2279,0.5002,30,52.0188
MH18BZ3384,379,71,reliable,2026-01-22,2026-03-10,97.76,-0.02777,0.714,640.0,587.0,699.0,80.0,116.08,2.4546,-0.011933,1488.0,606.0,1369.0,1653.0,99.936,416.53466,-2876.72985,59.0,59.0,,cycle,97.755,0.154,,-0.0007,0.0,0.02735,0.022,-1e-05,0.002,0.00241,0.007,41,-0.05507,0.014,2660,100.0,0.01401,0.004,0.1851831954442893,0.22175732217573307,0.22175732217573307,0.20791468358893,0.7534902174721649,0.1796875,0.3737725295214419,0.8016864164242296,0.3029412261584985,0.3917,0.194,0.389,0.328,0.082,13,0,3,2,1,7,26,-0.0564,0.2083,0.4703,20,51.2178
MH18BZ3386,585,156,reliable,2026-01-25,2026-03-10,97.89,-0.03383,0.797,529.0,498.0,572.0,80.0,175.88,3.9944,-0.008538,2096.0,525.0,1977.0,2240.0,99.789,475.5154,-5272.15136,32.0,32.0,,cycle,97.978,0.129,,0.00092,0.0,0.01793,0.01,-7e-06,0.001,0.00079,0.0,222,0.0074,0.0,4081,100.0,0.02955,0.051,0.21773933598366824,0.18465829846582793,0.18465829846582793,0.2221928432927904,0.7301311776229324,0.20312499999999997,0.3536357986326911,0.875564701151872,0.28981467403240246,0.3911,0.135,0.263,0.427,0.041,93,0,5,1,0,11,115,-0.036,0.3086,0.8468,28,51.1056
MH18BZ3346,546,89,reliable,2026-01-22,2026-03-10,97.78,-0.01296,0.438,1372.0,1093.0,1814.0,80.0,137.4,2.9076,-0.004362,4076.0,1402.0,3339.0,5366.0,100.728,-305.76563,3300.73846,49.0,,49.0,calendar,97.899,0.17,,-0.00048,0.0,0.01841,0.009,6e-06,0.003,-0.00035,0.0,23,-0.06498,0.014,4007,100.0,0.09236,0.161,0.10561942623831533,0.2156206415620635,0.2156206415620635,0.20985369293142955,0.7313214471693901,0.30468749999999994,0.33946550652579244,0.7899666501099836,0.23675941411991275,0.3882,0.13,0.237,0.367,0.047,12,0,4,3,1,9,32,-0.07,0.1889,0.4189,28,51.3648
MH18BZ3383,665,147,low_r2,2026-01-22,2026-03-10,97.83,-0.01735,0.382,1028.0,844.0,1243.0,80.0,176.16,3.7377,-0.004672,3816.0,1021.0,3117.0,4678.0,99.908,-128.90936,1666.44144,97.0,,97.0,calendar,98.126,0.181,,-0.01949,0.062,0.00045,0.0,-6e-06,0.001,0.01044,0.066,116,0.01449,0.001,3408,100.0,0.03286,0.041,0.1292038250778984,0.20334728033472815,0.20334728033472815,0.04230565838180855,0.6867855283060976,0.21093749999999997,0.47358607830950905,0.8839494784644859,0.28701873532343347,0.3874,0.134,0.462,0.286,0.046,50,0,7,1,0,12,75,-0.0454,0.2031,0.4757,29,50.705
MH18BZ3342,374,113,low_r2,2026-01-24,2026-03-10,97.64,-0.0196,0.377,900.0,742.0,1161.0,80.0,130.86,2.874,-0.00627,2813.0,979.0,2352.0,3678.0,99.562,138.52829,-197.67527,151.0,151.0,,cycle,97.908,0.179,,-0.00125,0.0,0.01088,0.003,-8e-06,0.002,0.00161,0.005,29,-0.07266,0.013,2679,100.0,0.07084,0.081,0.14129150102073718,0.25578800557880144,0.25578800557880144,0.2030671602326811,0.7126490936593348,0.1953125,0.3638284648850218,0.7808841268714963,0.2549372392005811,0.3874,0.163,0.333,0.303,0.148,14,0,1,2,0,8,26,-0.0552,0.1975,0.4358,18,51.0203
MH18BZ3501,537,120,reliable,2026-01-22,2026-03-10,97.84,-0.03858,0.764,462.0,426.0,498.0,80.0,119.09,2.5501,-0.014841,1202.0,471.0,1106.0,1307.0,99.979,-25.85314,348.67088,465.0,,465.0,calendar,97.899,0.146,,-0.00383,0.005,0.02241,0.014,5e-06,0.001,0.00012,0.0,8,-0.04937,0.009,3781,100.0,0.06612,0.15,0.24325776297410562,0.19972105997210465,0.19972105997210465,0.180327868852459,0.7412403600565377,0.29687499999999994,0.34530764449968926,0.8084273516402941,0.2589241971179025,0.3865,0.137,0.287,0.161,0.221,14,0,7,3,0,11,37,-0.0631,0.2186,0.4844,29,51.269
MH18BZ3378,408,88,reliable,2026-01-22,2026-03-01,98.36,-0.02698,0.96,680.0,641.0,714.0,80.0,104.82,2.7559,-0.009557,1921.0,697.0,1834.0,2030.0,100.005,0.93053,47.12798,3442.0,23397.0,3442.0,calendar,98.385,0.064,932.0,0.00139,0.001,0.02388,0.015,3e-06,0.0,0.00183,0.002,76,0.06624,0.005,4462,100.0,-0.00876,0.013,0.18093907811324816,0.056066945606692786,0.056066945606692786,0.2263352723426758,0.7448855605425645,0.28124999999999994,0.36656308266003734,0.9451500745050734,0.32217491933167763,0.3853,0.133,0.257,0.211,0.033,21,9,1,1,0,9,52,-0.0524,0.1872,0.4282,22,51.4992
MH18BZ3426,525,106,reliable,2026-01-22,2026-03-10,97.96,-0.02366,0.729,759.0,681.0,842.0,80.0,139.68,2.9674,-0.008053,2231.0,752.0,1976.0,2494.0,99.587,-328.47305,2486.67037,65.0,,65.0,calendar,98.09,0.122,,-0.00285,0.003,0.00797,0.002,5e-06,0.001,-0.00047,0.0,57,-0.02224,0.001,4159,100.0,0.00691,0.0,0.1631030407220373,0.16513249651324957,0.16513249651324957,0.18896527410541158,0.7054330845339349,0.29687499999999994,0.3379738968303294,0.8405118380283355,0.30893855692396055,0.3838,0.16,0.285,0.331,0.087,15,0,3,1,0,8,30,-0.0618,0.1877,0.3923,29,50.2975
MH18BZ3164,338,118,reliable,2026-01-25,2026-02-26,97.5,-0.0265,0.695,660.0,577.0,763.0,80.0,116.77,3.6304,-0.007435,2354.0,648.0,2077.0,2730.0,99.737,175.24242,-1447.93294,91.0,91.0,,cycle,97.616,0.157,1672.0,-0.00726,0.013,-0.00686,0.001,-3.3e-05,0.022,-8e-05,0.0,48,0.05799,0.007,2333,99.005,0.08179,0.078,0.17836037391210924,0.29483960948396204,0.29483960948396204,0.15009695046712498,0.6686587150048354,0.0,0.3428216283405843,0.9353934577449797,0.2456878347101853,0.3831,0.182,0.3,0.11,0.5,6,16,1,0,1,8,36,-0.0586,0.2251,0.4909,17,48.856
MH18BZ3194,495,123,reliable,2026-01-22,2026-03-10,98.01,-0.02635,0.787,684.0,625.0,749.0,80.0,135.61,2.8936,-0.009117,1976.0,683.0,1811.0,2177.0,100.034,264.44159,-2156.10222,78.0,78.0,,cycle,98.156,0.074,,-0.00296,0.004,0.02242,0.013,-0.0,0.0,0.00141,0.003,45,-0.05132,0.006,4025,100.0,-0.01703,0.052,0.17755452884925327,0.1520223152022323,0.1520223152022323,0.1879957694341618,0.7412651573387555,0.2578125,0.36134244872591675,0.806121242224272,0.32916054263173,0.3804,0.14,0.222,0.265,0.098,17,0,3,3,2,11,37,-0.0626,0.1941,0.4192,22,51.6738
MH18BZ2962,144,47,reliable,2026-02-21,2026-03-10,98.13,-0.02653,0.824,683.0,604.0,946.0,80.0,43.65,0.9608,-0.011275,1608.0,1673.0,1205.0,2501.0,95.842,185.28299,-1498.86415,337.0,337.0,,cycle,98.161,0.122,892.0,-0.00079,0.0,0.03219,0.003,2.8e-05,0.003,0.00387,0.008,7,-0.18231,0.017,1008,100.0,0.03714,0.152,0.17852154292468037,0.11910739191073727,0.11910739191073727,0.2071214524942711,0.7654921020656135,0.47656249999999994,0.3919204474829087,0.6512098204782516,0.283403442974676,0.3781,0.244,0.256,0.021,0.851,3,5,1,0,0,5,15,-0.0626,0.2098,0.4309,7,51.2862
MH18BZ3196,432,132,reliable,2026-01-22,2026-03-10,97.82,-0.02038,0.787,874.0,793.0,976.0,80.0,140.83,2.9833,-0.005753,3098.0,1038.0,2831.0,3437.0,99.55,25.03226,-453.67098,803.0,803.0,,cycle,97.792,0.118,,-0.00169,0.001,-0.01456,0.006,-2e-06,0.0,-0.00149,0.002,49,-0.04551,0.005,3221,100.0,-0.00563,0.003,0.14548189534758793,0.2052998605299876,0.2052998605299876,0.19918914154768197,0.6495648076970763,0.24218749999999997,0.32529521441889375,0.8129922656638046,0.3195310256280304,0.378,0.108,0.302,0.465,0.083,26,20,2,1,0,7,58,-0.0514,0.2151,0.4905,27,52.5101
MH18BZ3379,461,164,reliable,2026-01-24,2026-03-10,98.07,-0.02987,0.982,605.0,593.0,617.0,80.0,176.38,3.8756,-0.007342,2462.0,635.0,2413.0,2513.0,99.813,94.58201,-1282.37266,164.0,164.0,,cycle,97.941,0.06,630.0,0.00675,0.015,0.03068,0.018,-1.5e-05,0.006,0.00063,0.0,91,-0.03413,0.004,3142,100.0,-0.00497,0.002,0.1964650263242722,0.1347280334728047,0.1347280334728047,0.2735765908690287,0.7617477124507153,0.140625,0.3516469857054071,0.8264504836916672,0.3189735272751846,0.3771,0.18,0.289,0.366,0.074,43,1,2,1,2,10,72,-0.0409,0.2161,0.4678,30,52.316
MH18BZ3476,493,105,reliable,2026-01-22,2026-03-10,97.78,-0.03547,0.681,501.0,450.0,555.0,80.0,124.16,2.6201,-0.013486,1319.0,503.0,1214.0,1457.0,99.624,-140.63247,1134.80948,143.0,,143.0,calendar,98.029,0.133,,-0.00279,0.003,0.01359,0.008,-1.9e-05,0.008,0.00046,0.002,10,-0.03,0.003,4119,100.0,0.13638,0.233,0.22654990867089297,0.2156206415620635,0.2156206415620635,0.18949409483518417,0.7193691571403773,0.109375,0.34953387197016783,0.8313347051727807,0.1995759633740476,0.3668,0.109,0.218,0.104,0.274,8,0,2,1,2,8,25,-0.0633,0.1924,0.4325,23,51.1069
MH18BZ3372,539,123,reliable,2026-01-24,2026-03-10,98.17,-0.02503,0.878,726.0,678.0,775.0,80.0,134.5,2.9832,-0.008073,2251.0,755.0,2093.0,2429.0,99.944,-294.44991,2606.65044,62.0,,62.0,calendar,98.189,0.07,,0.00182,0.001,0.01904,0.014,7e-06,0.002,-0.00071,0.001,32,-0.07898,0.013,4758,99.252,0.05383,0.112,0.17046309229612122,0.10711297071129733,0.10711297071129733,0.2301251542393795,0.7328836759491159,0.3125,0.3349906774394034,0.7734099671231581,0.2693054922034699,0.3649,0.107,0.166,0.352,0.062,17,2,5,1,1,12,47,-0.0595,0.172,0.3987,30,51.0889
MH18BZ3201,532,99,reliable,2026-01-22,2026-03-10,98.56,-0.02984,0.591,622.0,570.0,687.0,80.0,170.19,3.609,-0.008355,2221.0,615.0,2026.0,2444.0,99.426,195.73278,-2111.52261,85.0,85.0,,cycle,98.69,0.241,,0.00639,0.015,0.03112,0.019,1.6e-05,0.009,0.0016,0.008,25,-0.05152,0.011,3471,99.791,0.04973,0.031,0.19630385731170097,0.0,0.0,0.27040366649039305,0.7628387928683015,0.38281249999999994,0.36370416407706657,0.8058847181816031,0.27276873954690584,0.3639,0.142,0.331,0.255,0.139,50,0,1,2,2,11,61,-0.0412,0.3914,0.5421,44,52.3857
MH18BZ3382,408,67,low_r2,2026-01-22,2026-03-01,98.11,0.0067,0.105,,19817.0,38510.0,80.0,79.77,2.1314,0.003464,,,7788.0,7788.0,97.021,-3919.52925,25868.60924,6.0,,6.0,calendar,97.955,0.199,485.0,-0.02429,0.121,-2e-05,0.0,-1.1e-05,0.002,0.0069,0.03,50,0.0804,0.014,3359,100.0,0.01731,0.003,0.0,0.12329149232914749,0.12329149232914749,0.0,0.6856200560418577,0.171875,0.42958359229334997,0.9618959767260342,0.3001537343942695,0.3639,0.106,0.248,0.417,0.042,17,16,7,0,0,7,59,-0.0641,0.1887,0.4586,21,51.736
MH18BZ3195,74,17,reliable,2026-03-02,2026-03-10,97.79,-0.17944,0.932,99.0,86.0,116.0,80.0,19.66,2.5056,-0.075113,237.0,95.0,212.0,269.0,100.0,0.0,-0.0,827112290629909.0,827112290629909.0,,cycle,97.781,0.175,127.0,0.08917,0.116,0.10804,0.01,-2.1e-05,0.001,-0.02766,0.011,19,-0.73296,0.073,523,100.0,,,1.0,0.21450488145048607,0.21450488145048607,1.0,0.9535794876881492,0.09375000000000001,0.0,0.0,,0.2988,0.124,0.303,0.176,0.176,2,2,0,0,0,2,7,-0.0564,0.2208,0.3969,4,52.6798
