registration_number,n_cycles,n_unique_soh,rul_reliability,first_date,last_date,current_soh,soh_slope_%per_day,soh_r2,rul_days,rul_lo_days,rul_hi_days,eol_threshold,efc_total,avg_efc_per_day,soh_per_efc_slope,rul_efc,rul_days_efc,rul_efc_ci_lo,rul_efc_ci_hi,dual_soh0,dual_alpha,dual_beta,dual_rul_days,dual_rul_efc_days,dual_rul_cal_days,dual_dominant_path,bayes_soh_pred,bayes_soh_std,bayes_rul_days,epk_slope_per_day,epk_r2,heat_slope_per_day,heat_r2,spread_slope_per_day,spread_r2,vsag_slope_per_day,vsag_r2,total_n_vsag,ir_slope_per_day,ir_r2,total_high_ir,cycle_soh_current,cycle_soh_slope_per_day,cycle_soh_r2,soh_slope_norm,ekf_soh_norm,soh_health_norm,energy_slope_norm,heat_slope_norm,spread_slope_norm,vsag_slope_norm,ir_slope_norm,cycle_soh_slope_norm,composite_degradation_score,pct_rapid_heating,pct_high_energy_per_km,pct_slow_charging,pct_fast_charging,n_if_anomalies,n_cusum_soh,n_cusum_epk,n_cusum_heat,n_cusum_spread,n_cusum_cycle_soh,n_combined_anom,if_score_mean,neural_rec_err_mean,neural_rec_err_p95,n_neural_anomalies,neural_anomaly_pct
MH18BZ3163,513,127,low_r2,2026-01-24,2026-03-10,97.04,-0.02453,0.395,694.0,601.0,845.0,80.0,123.94,2.7378,-0.009062,1880.0,687.0,1624.0,2312.0,99.685,597.52464,-4425.11592,37.0,37.0,,cycle,97.576,0.288,,-0.00227,0.003,-2e-05,0.0,-9e-06,0.003,-0.0006,0.001,58,-0.00093,0.0,4411,100.0,-0.01267,0.001,0.16777694208660154,0.4237099023709885,0.4237099023709885,0.19407720782654678,0.6856200560418577,0.18749999999999997,0.33635798632691116,0.8657134747747108,0.32547767472505185,0.4401,0.123,0.174,0.197,0.311,13,21,2,2,1,10,52,-0.0612,0.1953,0.4309,26,49.9477
MH18BZ2649,683,151,low_r2,2025-12-05,2026-03-10,97.25,-0.00212,0.09,8147.0,5028.0,26031.0,80.0,217.12,2.2831,-0.000778,22180.0,9715.0,14184.0,57976.0,99.607,2.75276,2.39133,9547.0,9547.0,67838.0,cycle,97.347,0.184,18869.0,0.00045,0.0,0.00423,0.003,-3e-06,0.001,0.00054,0.003,52,0.02439,0.004,6863,100.0,0.00609,0.018,0.04738368969592788,0.3637377963737809,0.3637377963737809,0.21805041424290497,0.6961589009844521,0.234375,0.35052827843380985,0.8956574185765983,0.30963120639264774,0.4395,0.138,0.14,0.225,0.498,89,30,3,1,1,12,141,-0.036,0.1968,0.4387,32,50.1311
MH18BZ3034,490,116,reliable,2026-01-22,2026-03-10,97.02,-0.03539,0.746,481.0,444.0,531.0,80.0,127.46,2.7005,-0.013153,1294.0,479.0,1191.0,1419.0,99.588,576.35201,-4789.3025,39.0,39.0,,cycle,97.169,0.207,,0.00182,0.002,0.01074,0.003,-1.2e-05,0.003,-0.00152,0.004,44,-0.04089,0.004,4068,100.0,-0.00802,0.001,0.22612012463736986,0.42873082287308073,0.42873082287308073,0.2301251542393795,0.7123019317082847,0.1640625,0.32492231199502797,0.8184559710494571,0.32154984542091125,0.4372,0.13,0.22,0.468,0.04,10,16,2,2,0,10,43,-0.0638,0.1727,0.4047,28,50.7898
MH18BZ3345,579,109,reliable,2026-01-22,2026-03-10,97.39,-0.01753,0.524,992.0,851.0,1197.0,80.0,175.62,3.7351,-0.004701,3700.0,991.0,3147.0,4363.0,99.735,-417.86091,4425.08229,36.0,,36.0,calendar,97.635,0.17,,0.00275,0.003,0.02327,0.015,1.4e-05,0.011,-6e-05,0.0,86,-0.04869,0.007,4102,99.887,0.0159,0.006,0.1301708391533255,0.3241283124128296,0.3241283124128296,0.2383218755508549,0.7433729263272745,0.36718749999999994,0.3430702299564947,0.8092315333853686,0.3013447536026219,0.4372,0.158,0.382,0.448,0.043,54,29,3,2,1,11,99,-0.0496,0.218,0.4347,31,50.7835
MH18BZ3024,274,105,reliable,2026-01-25,2026-02-26,97.24,-0.03544,0.699,486.0,433.0,562.0,80.0,112.55,3.5028,-0.010262,1680.0,479.0,1485.0,1932.0,99.559,237.07662,-1607.39519,72.0,72.0,,cycle,97.315,0.191,,0.00535,0.003,0.0194,0.005,6e-06,0.001,-0.00388,0.003,44,-0.05301,0.004,1707,99.629,0.01762,0.001,0.22638873965832174,0.3682008368200824,0.3682008368200824,0.2612374405076679,0.7337763781089592,0.30468749999999994,0.2955873213175886,0.8041226140637195,0.29989187910732684,0.4352,0.169,0.279,0.0,0.842,3,11,1,0,1,4,23,-0.054,0.2242,0.4758,11,49.1151
MH18BZ2869,393,104,reliable,2026-01-22,2026-03-01,97.44,-0.03326,0.853,524.0,471.0,578.0,80.0,110.93,2.9587,-0.011315,1541.0,521.0,1408.0,1686.0,100.007,-62.41748,594.97087,266.0,,266.0,calendar,97.481,0.107,,-0.00141,0.001,0.007,0.001,3e-06,0.0,0.00119,0.001,42,0.01819,0.001,2970,100.0,-0.03347,0.133,0.21467712474481582,0.3115760111576029,0.3115760111576029,0.20165697161995413,0.7030277481588018,0.28124999999999994,0.3586078309509012,0.8883251732538613,0.3430473197844339,0.4337,0.132,0.22,0.43,0.047,7,0,5,2,0,11,29,-0.0658,0.195,0.4105,24,51.504
MH18BZ2874,413,90,reliable,2026-01-24,2026-03-10,97.37,-0.03577,0.782,486.0,453.0,531.0,80.0,100.39,2.2125,-0.016234,1070.0,484.0,981.0,1178.0,100.855,963.64293,-4601.31027,28.0,28.0,,cycle,97.494,0.17,,-0.00077,0.0,0.00871,0.002,1.2e-05,0.005,-0.00193,0.006,34,-0.01524,0.001,2737,100.0,0.01546,0.004,0.2281615987966048,0.3297071129707124,0.3297071129707124,0.20729772607086197,0.7072680834180572,0.35156249999999994,0.31982597886886266,0.8487901795217483,0.30171641917118575,0.4313,0.169,0.107,0.061,0.485,10,0,1,1,0,6,22,-0.0647,0.3088,0.8587,23,51.4631
MH18BZ2690,592,128,reliable,2025-12-05,2026-03-10,97.33,-0.01207,0.667,1435.0,1250.0,1668.0,80.0,178.0,1.8759,-0.005491,3155.0,1682.0,2795.0,3746.0,99.652,-19.62559,139.07705,1120.0,,1120.0,calendar,97.416,0.102,,0.00015,0.0,0.00729,0.005,-7e-06,0.005,0.00141,0.002,177,0.01559,0.002,5234,99.631,0.01056,0.129,0.10083807886537022,0.3430962343096251,0.3430962343096251,0.21540631059404194,0.7037468693431199,0.20312499999999997,0.36134244872591675,0.885250360699165,0.30585542209382865,0.4311,0.134,0.216,0.303,0.277,60,14,2,3,0,10,84,-0.0438,0.2061,0.4735,29,50.2507
MH18BZ3113,493,115,reliable,2026-01-22,2026-03-10,97.32,-0.025,0.915,693.0,657.0,738.0,80.0,131.16,2.785,-0.008976,1929.0,693.0,1805.0,2066.0,99.956,296.78777,-1999.95739,65.0,65.0,,cycle,97.35,0.057,,0.00031,0.0,0.01044,0.004,7e-06,0.002,0.00066,0.001,31,-0.04566,0.006,4118,100.0,0.04386,0.102,0.1703019232835501,0.3458856345885626,0.3458856345885626,0.2168164992067689,0.7115580132417486,0.3125,0.3520198881292729,0.812814872631803,0.2777270961093372,0.4298,0.152,0.152,0.153,0.556,11,10,2,0,0,15,49,-0.0653,0.1847,0.4081,26,50.5617
MH18BZ3160,443,99,reliable,2026-01-25,2026-03-10,97.19,-0.03339,0.581,515.0,449.0,617.0,80.0,119.05,2.721,-0.012265,1402.0,515.0,1237.0,1650.0,98.125,-3015.43752,23807.17657,7.0,,7.0,calendar,97.405,0.224,,-0.00087,0.0,0.00227,0.0,-5e-06,0.001,-0.00076,0.001,40,-0.01408,0.001,3143,100.0,0.05172,0.019,0.21537552379929092,0.3807531380753131,0.3807531380753131,0.20641635818790763,0.6912986336697498,0.21875,0.33436917339962713,0.8501620189692282,0.27108779754362844,0.4269,0.186,0.24,0.272,0.14,10,15,2,1,2,7,35,-0.0646,0.2384,0.4084,22,50.7024
